877,101,1006,108,1004,153,875,145
1000,103,1058,103,1058,146,1000,146
1196,103,1304,103,1304,142,1196,142
1354,103,1447,103,1447,142,1354,142
688,107,758,107,758,150,688,150
756,111,872,104,874,145,758,152
1058,107,1181,107,1181,153,1058,153
1447,107,1574,107,1574,146,1447,146
180,111,223,111,223,150,180,150
246,109,344,116,342,156,243,149
384,111,484,111,484,150,384,150
484,111,634,111,634,150,484,150
638,111,692,111,692,146,638,146
1185,115,1200,115,1200,138,1185,138
342,115,384,115,384,150,342,150
973,146,1039,146,1039,184,973,184
1085,146,1212,146,1212,180,1085,180
1212,145,1306,152,1303,193,1209,185
1346,150,1435,150,1435,180,1346,180
1439,146,1535,146,1535,180,1439,180
1535,146,1577,146,1577,180,1535,180
534,150,615,150,615,184,534,184
661,150,704,150,704,184,661,184
704,150,754,150,754,192,704,192
380,153,419,153,419,188,380,188
754,157,827,157,827,184,754,184
831,157,850,157,850,184,831,184
850,157,915,157,915,184,850,184
919,157,973,157,973,184,919,184
1042,157,1081,157,1081,180,1042,180
227,161,315,161,315,188,227,188
334,161,380,161,380,184,334,184
423,161,534,161,534,192,423,192
634,161,654,161,654,188,634,188
1301,179,1444,187,1442,230,1299,221
1447,179,1579,186,1577,232,1445,225
531,188,677,188,677,223,531,223
827,184,992,184,992,219,827,219
1046,188,1220,192,1219,225,1045,221
1223,184,1266,184,1266,219,1223,219
1262,184,1296,184,1296,219,1262,219
681,192,715,192,715,223,681,223
773,188,827,188,827,223,773,223
996,192,1042,192,1042,219,996,219
323,196,434,196,434,223,323,223
715,196,773,196,773,227,715,227
223,200,319,200,319,230,223,230
461,200,523,200,523,230,461,230
821,227,1019,216,1021,261,824,272
1019,219,1062,219,1062,257,1019,257
1212,219,1316,219,1316,257,1212,257
1339,219,1408,219,1408,257,1339,257
1412,219,1454,219,1454,257,1412,257
450,223,584,223,584,261,450,261
592,223,765,223,765,257,592,257
761,223,819,223,819,257,761,257
1062,223,1096,223,1096,257,1062,257
1096,223,1146,223,1146,257,1096,257
1454,227,1577,227,1577,257,1454,257
1142,227,1200,227,1200,265,1142,265
207,238,280,238,280,265,207,265
284,238,338,238,338,269,284,269
342,238,388,238,388,261,342,261
392,238,450,238,450,261,392,261
800,257,969,257,969,296,800,296
1350,257,1520,257,1520,296,1350,296
1523,261,1550,261,1550,292,1523,292
492,261,527,261,527,296,492,296
531,265,631,265,631,296,531,296
1239,261,1289,261,1289,296,1239,296
354,269,496,269,496,300,354,300
631,265,677,265,677,296,631,296
685,269,769,269,769,296,685,296
973,269,1042,269,1042,296,973,296
1050,269,1104,269,1104,300,1050,300
1108,269,1185,269,1185,296,1108,296
1212,269,1235,269,1235,300,1212,300
1293,269,1350,269,1350,296,1293,296
1550,269,1577,269,1577,296,1550,296
315,273,354,273,354,300,315,300
186,281,241,275,244,300,189,306
246,277,307,277,307,307,246,307
800,296,939,296,939,334,800,334
1051,297,1159,302,1158,336,1049,330
581,300,685,300,685,334,581,334
1274,296,1429,302,1427,340,1272,334
1427,300,1574,300,1574,338,1427,338
381,307,508,311,507,341,380,337
688,304,792,304,792,338,688,338
946,307,981,307,981,330,946,330
985,307,1046,307,1046,334,985,334
1162,307,1269,307,1269,334,1162,334
188,311,234,311,234,338,188,338
527,311,581,311,581,342,527,342
238,315,323,315,323,338,238,338
330,315,380,315,380,338,330,338
1046,334,1108,334,1108,369,1046,369
1108,334,1189,334,1189,369,1108,369
1185,334,1243,334,1243,369,1185,369
1246,334,1396,334,1396,369,1246,369
457,338,504,338,504,373,457,373
507,342,604,342,604,373,507,373
738,342,850,342,850,373,738,373
900,342,977,342,977,369,900,369
1015,342,1039,342,1039,377,1015,377
1504,342,1574,342,1574,369,1504,369
